age_group,sex,country,year,count_in,count_out
Y20,F,ES,2002,5436,174.0
Y20,F,ES,2003,5313,157.0
Y20,F,ES,2004,7686,334.0
Y20,F,ES,2005,8641,398.0
Y20,F,ES,2006,10978,943.0
Y20,F,ES,2007,12729,1214.0
Y20,F,ES,2008,7596,1651.0
Y20,F,ES,2009,5361,1969.0
Y20,F,ES,2010,4681,1866.0
Y20,F,ES,2011,4573,1793.0
Y20,F,ES,2012,3760,2042.0
Y20,F,ES,2013,3402,2445.0
Y20,F,ES,2014,3574,1726.0
Y20,F,ES,2015,3832,1591.0
Y20,F,ES,2016,4605,1503.0
Y20,F,ES,2017,5867,1547.0
Y20,F,ES,2018,6581,1372.0
Y20,F,ES,2019,7677,1311.0
Y20,M,ES,2002,5456,202.0
Y20,M,ES,2003,5281,126.0
Y20,M,ES,2004,8090,356.0
Y20,M,ES,2005,8483,465.0
Y20,M,ES,2006,10566,1023.0
Y20,M,ES,2007,13475,1519.0
Y20,M,ES,2008,7003,2155.0
Y20,M,ES,2009,4067,2612.0
Y20,M,ES,2010,3882,2480.0
Y20,M,ES,2011,3698,2635.0
Y20,M,ES,2012,3109,2910.0
Y20,M,ES,2013,2663,3404.0
Y20,M,ES,2014,3152,2182.0
Y20,M,ES,2015,3340,1888.0
Y20,M,ES,2016,4092,1768.0
Y20,M,ES,2017,5416,1747.0
Y20,M,ES,2018,6630,1551.0
Y20,M,ES,2019,7909,1519.0
Y20,F,FI,2009,313,184.0
Y20,F,FI,2010,311,225.0
Y20,F,FI,2011,368,213.0
Y20,F,FI,2012,329,247.0
Y20,F,FI,2013,298,262.0
Y20,F,FI,2014,331,285.0
Y20,F,FI,2015,310,284.0
Y20,F,FI,2016,381,318.0
Y20,F,FI,2017,334,309.0
Y20,F,FI,2018,242,281.0
Y20,F,FI,2019,258,238.0
Y20,M,FI,2009,273,106.0
Y20,M,FI,2010,281,102.0
Y20,M,FI,2011,302,91.0
Y20,M,FI,2012,292,108.0
Y20,M,FI,2013,279,119.0
Y20,M,FI,2014,250,132.0
Y20,M,FI,2015,272,125.0
Y20,M,FI,2016,361,148.0
Y20,M,FI,2017,310,118.0
Y20,M,FI,2018,260,128.0
Y20,M,FI,2019,237,124.0
Y20,F,FR,2006,5509,
Y20,F,FR,2010,5848,
Y20,M,FR,2006,3352,
Y20,M,FR,2010,3395,
Y20,F,HR,2013,111,63.0
Y20,F,HR,2014,115,118.0
Y20,F,HR,2015,111,150.0
Y20,F,HR,2016,104,221.0
Y20,F,HR,2017,89,275.0
Y20,F,HR,2018,136,341.0
Y20,F,HR,2019,174,309.0
Y20,M,HR,2013,128,63.0
Y20,M,HR,2014,133,137.0
Y20,M,HR,2015,122,160.0
Y20,M,HR,2016,167,214.0
Y20,M,HR,2017,211,366.0
Y20,M,HR,2018,443,393.0
Y20,M,HR,2019,562,348.0
Y20,F,HU,2008,751,93.0
Y20,F,HU,2009,539,72.0
Y20,F,HU,2010,503,115.0
Y20,F,HU,2011,482,140.0
Y20,F,HU,2012,504,159.0
Y20,F,HU,2013,536,231.0
Y20,F,HU,2014,712,350.0
Y20,F,HU,2015,727,411.0
Y20,F,HU,2016,752,360.0
Y20,F,HU,2017,1018,418.0
Y20,F,HU,2018,1127,380.0
Y20,F,HU,2019,1172,361.0
Y20,M,HU,2008,802,112.0
Y20,M,HU,2009,652,92.0
Y20,M,HU,2010,565,140.0
Y20,M,HU,2011,567,131.0
Y20,M,HU,2012,607,115.0
Y20,M,HU,2013,546,198.0
Y20,M,HU,2014,721,324.0
Y20,M,HU,2015,800,338.0
Y20,M,HU,2016,823,307.0
Y20,M,HU,2017,1112,371.0
Y20,M,HU,2018,1338,444.0
Y20,M,HU,2019,1289,385.0
Y20,F,IS,2011,49,31.0
Y20,F,IS,2012,61,51.0
Y20,F,IS,2013,119,48.0
Y20,F,IS,2014,93,37.0
Y20,F,IS,2015,77,31.0
Y20,F,IS,2016,108,44.0
Y20,F,IS,2017,112,34.0
Y20,F,IS,2018,136,45.0
Y20,F,IS,2019,109,29.0
Y20,M,IS,2011,71,28.0
Y20,M,IS,2012,54,29.0
Y20,M,IS,2013,78,27.0
Y20,M,IS,2014,70,22.0
Y20,M,IS,2015,81,20.0
Y20,M,IS,2016,111,29.0
Y20,M,IS,2017,114,13.0
Y20,M,IS,2018,131,25.0
Y20,M,IS,2019,129,21.0
Y20,F,IT,1990,1186,376.0
Y20,F,IT,1991,999,430.0
Y20,F,IT,1992,1014,395.0
Y20,F,IT,1993,1150,406.0
Y20,F,IT,1994,1252,399.0
Y20,F,IT,1995,1217,236.0
Y20,F,IT,1996,1500,242.0
Y20,F,IT,1997,1466,238.0
Y20,F,IT,1998,1765,214.0
Y20,F,IT,1999,2027,316.0
Y20,F,IT,2000,2225,271.0
Y20,F,IT,2001,2128,287.0
Y20,F,IT,2002,2232,199.0
Y20,F,IT,2003,3225,221.0
Y20,F,IT,2004,3167,246.0
Y20,F,IT,2005,3054,218.0
Y20,F,IT,2006,3059,234.0
Y20,F,IT,2007,6242,242.0
Y20,F,IT,2008,7070,385.0
Y20,F,IT,2009,5549,396.0
Y20,F,IT,2010,5339,388.0
Y20,F,IT,2011,3987,314.0
Y20,F,IT,2012,3812,426.0
Y20,F,IT,2013,3083,522.0
Y20,F,IT,2014,2735,606.0
Y20,F,IT,2015,2538,615.0
Y20,F,IT,2016,2473,723.0
Y20,F,IT,2017,2948,714.0
Y20,F,IT,2018,2836,758.0
Y20,F,IT,2019,2720,816.0
Y20,M,IT,1990,1971,406.0
Y20,M,IT,1991,1375,462.0
Y20,M,IT,1992,1048,463.0
Y20,M,IT,1993,803,464.0
Y20,M,IT,1994,752,445.0
Y20,M,IT,1995,749,246.0
Y20,M,IT,1996,1623,263.0
Y20,M,IT,1997,1129,350.0
Y20,M,IT,1998,791,356.0
Y20,M,IT,1999,1726,453.0
Y20,M,IT,2000,1962,353.0
Y20,M,IT,2001,1611,379.0
Y20,M,IT,2002,1709,295.0
Y20,M,IT,2003,3894,336.0
Y20,M,IT,2004,3258,357.0
Y20,M,IT,2005,2034,260.0
Y20,M,IT,2006,2147,303.0
Y20,M,IT,2007,5847,274.0
Y20,M,IT,2008,6002,502.0
Y20,M,IT,2009,4503,514.0
Y20,M,IT,2010,4171,439.0
Y20,M,IT,2011,3163,326.0
Y20,M,IT,2012,3301,479.0
Y20,M,IT,2013,2622,526.0
Y20,M,IT,2014,2908,624.0
Y20,M,IT,2015,4445,722.0
Y20,M,IT,2016,6440,771.0
Y20,M,IT,2017,8675,836.0
Y20,M,IT,2018,7923,837.0
Y20,M,IT,2019,4016,1112.0
Y20,F,LI,2008,8,4.0
Y20,F,LI,2009,3,6.0
Y20,F,LI,2010,7,4.0
Y20,F,LI,2011,5,4.0
Y20,F,LI,2012,1,5.0
Y20,F,LI,2013,2,3.0
Y20,F,LI,2014,9,5.0
Y20,F,LI,2015,9,6.0
Y20,F,LI,2016,3,4.0
Y20,F,LI,2017,7,1.0
Y20,F,LI,2018,4,4.0
Y20,F,LI,2019,2,7.0
Y20,M,LI,2008,6,2.0
Y20,M,LI,2009,2,4.0
Y20,M,LI,2010,4,2.0
Y20,M,LI,2011,7,3.0
Y20,M,LI,2012,10,3.0
Y20,M,LI,2013,1,3.0
Y20,M,LI,2014,3,2.0
Y20,M,LI,2015,2,4.0
Y20,M,LI,2016,6,5.0
Y20,M,LI,2017,6,2.0
Y20,M,LI,2018,5,1.0
Y20,M,LI,2019,0,4.0
Y20,F,LT,2013,224,546.0
Y20,F,LT,2014,173,503.0
Y20,F,LT,2015,157,481.0
Y20,F,LT,2016,151,548.0
Y20,F,LT,2017,195,764.0
Y20,F,LT,2018,281,516.0
Y20,F,LT,2019,350,428.0
Y20,M,LT,2013,216,603.0
Y20,M,LT,2014,170,468.0
Y20,M,LT,2015,173,651.0
Y20,M,LT,2016,187,570.0
Y20,M,LT,2017,220,826.0
Y20,M,LT,2018,311,592.0
Y20,M,LT,2019,381,431.0
Y20,F,LU,2013,196,56.0
Y20,F,LU,2014,246,81.0
Y20,F,LU,2015,253,92.0
Y20,F,LU,2016,186,102.0
Y20,F,LU,2017,188,84.0
Y20,F,LU,2018,182,72.0
Y20,F,LU,2019,194,92.0
Y20,M,LU,2013,166,60.0
Y20,M,LU,2014,186,74.0
Y20,M,LU,2015,210,74.0
Y20,M,LU,2016,175,67.0
Y20,M,LU,2017,181,84.0
Y20,M,LU,2018,196,72.0
Y20,M,LU,2019,213,84.0
Y20,F,LV,1991,232,300.0
Y20,F,LV,1992,86,370.0
Y20,F,LV,1993,41,202.0
Y20,F,LV,1994,26,146.0
Y20,F,LV,1995,18,100.0
Y20,F,LV,1996,7,93.0
Y20,F,LV,1997,16,75.0
Y20,F,LV,1998,14,44.0
Y20,F,LV,1999,7,34.0
Y20,F,LV,2000,32,206.0
Y20,F,LV,2001,28,236.0
Y20,F,LV,2002,50,148.0
Y20,F,LV,2003,11,190.0
Y20,F,LV,2004,12,244.0
Y20,F,LV,2005,31,304.0
Y20,F,LV,2006,55,365.0
Y20,F,LV,2007,61,278.0
Y20,F,LV,2008,37,445.0
Y20,F,LV,2009,34,828.0
Y20,F,LV,2010,17,718.0
Y20,F,LV,2011,65,461.0
Y20,F,LV,2012,70,308.0
Y20,F,LV,2013,37,287.0
Y20,F,LV,2014,85,200.0
Y20,F,LV,2015,27,176.0
Y20,F,LV,2016,23,173.0
Y20,F,LV,2017,56,154.0
Y20,F,LV,2018,64,125.0
Y20,F,LV,2019,38,115.0
Y20,M,LV,1991,200,477.0
Y20,M,LV,1992,76,320.0
Y20,M,LV,1993,59,202.0
Y20,M,LV,1994,38,188.0
Y20,M,LV,1995,27,131.0
Y20,M,LV,1996,23,92.0
Y20,M,LV,1997,21,78.0
Y20,M,LV,1998,48,86.0
Y20,M,LV,1999,13,42.0
Y20,M,LV,2000,43,226.0
Y20,M,LV,2001,37,218.0
Y20,M,LV,2002,47,182.0
Y20,M,LV,2003,15,163.0
Y20,M,LV,2004,15,195.0
Y20,M,LV,2005,25,282.0
Y20,M,LV,2006,64,254.0
Y20,M,LV,2007,103,218.0
Y20,M,LV,2008,29,507.0
Y20,M,LV,2009,34,785.0
Y20,M,LV,2010,19,634.0
Y20,M,LV,2011,88,319.0
Y20,M,LV,2012,82,229.0
Y20,M,LV,2013,33,242.0
Y20,M,LV,2014,74,167.0
Y20,M,LV,2015,46,199.0
Y20,M,LV,2016,40,180.0
Y20,M,LV,2017,128,145.0
Y20,M,LV,2018,181,141.0
Y20,M,LV,2019,149,147.0
Y20,F,MK,2008,6,9.0
Y20,F,MK,2009,18,6.0
Y20,F,MK,2010,24,7.0
Y20,F,MK,2011,13,5.0
Y20,F,MK,2012,28,10.0
Y20,F,MK,2013,34,4.0
Y20,F,MK,2014,49,10.0
Y20,F,MK,2015,67,11.0
Y20,F,MK,2016,94,10.0
Y20,F,MK,2017,55,3.0
Y20,F,MK,2018,56,6.0
Y20,M,MK,2008,6,13.0
Y20,M,MK,2009,18,3.0
Y20,M,MK,2010,14,12.0
Y20,M,MK,2011,27,7.0
Y20,M,MK,2012,32,5.0
Y20,M,MK,2013,79,8.0
Y20,M,MK,2014,81,9.0
Y20,M,MK,2015,84,10.0
Y20,M,MK,2016,74,8.0
Y20,M,MK,2017,51,1.0
Y20,M,MK,2018,55,6.0
Y20,F,NL,2008,2651,848.0
Y20,F,NL,2009,2248,544.0
Y20,F,NL,2010,2371,517.0
Y20,F,NL,2011,2290,567.0
Y20,F,NL,2012,2244,577.0
Y20,F,NL,2013,1991,576.0
Y20,F,NL,2014,2284,561.0
Y20,F,NL,2015,2448,582.0
Y20,F,NL,2016,2865,616.0
Y20,F,NL,2017,3004,661.0
Y20,F,NL,2018,3009,677.0
Y20,F,NL,2019,3327,645.0
Y20,M,NL,2008,1842,610.0
Y20,M,NL,2009,1575,518.0
Y20,M,NL,2010,1549,551.0
Y20,M,NL,2011,1733,607.0
Y20,M,NL,2012,1655,652.0
Y20,M,NL,2013,1581,608.0
Y20,M,NL,2014,1939,604.0
Y20,M,NL,2015,2108,650.0
Y20,M,NL,2016,2543,637.0
Y20,M,NL,2017,2367,714.0
Y20,M,NL,2018,2401,670.0
Y20,M,NL,2019,2653,746.0
Y20,F,NO,2008,574,195.0
Y20,F,NO,2009,610,201.0
Y20,F,NO,2010,841,503.0
Y20,F,NO,2011,751,266.0
Y20,F,NO,2012,728,244.0
Y20,F,NO,2013,616,275.0
Y20,F,NO,2014,666,279.0
Y20,F,NO,2015,452,228.0
Y20,F,NO,2016,487,232.0
Y20,F,NO,2017,400,188.0
Y20,F,NO,2018,375,183.0
Y20,F,NO,2019,326,182.0
Y20,M,NO,2008,396,114.0
Y20,M,NO,2009,371,110.0
Y20,M,NO,2010,580,314.0
Y20,M,NO,2011,600,124.0
Y20,M,NO,2012,572,121.0
Y20,M,NO,2013,510,135.0
Y20,M,NO,2014,527,162.0
Y20,M,NO,2015,495,145.0
Y20,M,NO,2016,571,130.0
Y20,M,NO,2017,370,112.0
Y20,M,NO,2018,257,113.0
Y20,M,NO,2019,267,131.0
Y20,F,PL,2009,817,1214.0
Y20,F,PL,2010,439,1286.0
Y20,F,PL,2011,455,1159.0
Y20,F,PL,2012,561,1584.0
Y20,F,PL,2013,689,1235.0
Y20,F,PL,2014,1098,1296.0
Y20,F,PL,2015,1276,1117.0
Y20,F,PL,2016,803,1067.0
Y20,F,PL,2017,795,954.0
Y20,F,PL,2018,559,916.0
Y20,F,PL,2019,644,666.0
Y20,M,PL,2009,2138,1542.0
Y20,M,PL,2010,828,1814.0
Y20,M,PL,2011,714,1755.0
Y20,M,PL,2012,941,2136.0
Y20,M,PL,2013,1062,1792.0
Y20,M,PL,2014,1297,2072.0
Y20,M,PL,2015,1536,2351.0
Y20,M,PL,2016,1326,2745.0
Y20,M,PL,2017,848,2214.0
Y20,M,PL,2018,890,2079.0
Y20,M,PL,2019,908,1810.0
Y20,F,SE,1998,787,523.0
Y20,F,SE,1999,875,502.0
Y20,F,SE,2000,942,447.0
Y20,F,SE,2001,861,407.0
Y20,F,SE,2002,854,413.0
Y20,F,SE,2003,938,327.0
Y20,F,SE,2004,827,392.0
Y20,F,SE,2005,843,415.0
Y20,F,SE,2006,1131,474.0
Y20,F,SE,2007,1141,474.0
Y20,F,SE,2008,1217,637.0
Y20,F,SE,2009,1348,599.0
Y20,F,SE,2010,1291,702.0
Y20,F,SE,2011,1209,747.0
Y20,F,SE,2012,1192,592.0
Y20,F,SE,2013,1194,513.0
Y20,F,SE,2014,1270,441.0
Y20,F,SE,2015,1207,344.0
Y20,F,SE,2016,1474,311.0
Y20,F,SE,2017,1155,297.0
Y20,F,SE,2018,1019,303.0
Y20,F,SE,2019,864,281.0
Y20,M,SE,1998,325,274.0
Y20,M,SE,1999,380,278.0
Y20,M,SE,2000,460,240.0
Y20,M,SE,2001,461,219.0
Y20,M,SE,2002,481,219.0
Y20,M,SE,2003,456,223.0
Y20,M,SE,2004,401,187.0
Y20,M,SE,2005,416,229.0
Y20,M,SE,2006,786,265.0
Y20,M,SE,2007,803,343.0
Y20,M,SE,2008,827,352.0
Y20,M,SE,2009,870,369.0
Y20,M,SE,2010,934,513.0
Y20,M,SE,2011,882,525.0
Y20,M,SE,2012,835,430.0
Y20,M,SE,2013,938,350.0
Y20,M,SE,2014,1105,273.0
Y20,M,SE,2015,1209,279.0
Y20,M,SE,2016,1731,215.0
Y20,M,SE,2017,1022,205.0
Y20,M,SE,2018,1843,219.0
Y20,M,SE,2019,3418,215.0
Y20,F,SK,1995,31,3.0
Y20,F,SK,1996,29,5.0
Y20,F,SK,1997,20,11.0
Y20,F,SK,1998,23,9.0
Y20,F,SK,1999,17,5.0
Y20,F,SK,2000,17,9.0
Y20,F,SK,2001,11,16.0
Y20,F,SK,2002,16,13.0
Y20,F,SK,2003,18,7.0
Y20,F,SK,2004,26,9.0
Y20,F,SK,2005,32,11.0
Y20,F,SK,2006,39,10.0
Y20,F,SK,2007,89,11.0
Y20,F,SK,2013,26,16.0
Y20,F,SK,2014,25,11.0
Y20,F,SK,2015,39,13.0
Y20,F,SK,2016,37,9.0
Y20,F,SK,2017,32,11.0
Y20,F,SK,2018,29,15.0
Y20,F,SK,2019,33,11.0
Y20,M,SK,1995,19,2.0
Y20,M,SK,1996,10,1.0
Y20,M,SK,1997,15,3.0
Y20,M,SK,1998,6,1.0
Y20,M,SK,1999,6,3.0
Y20,M,SK,2000,9,4.0
Y20,M,SK,2001,17,7.0
Y20,M,SK,2002,10,5.0
Y20,M,SK,2003,9,5.0
Y20,M,SK,2004,24,7.0
Y20,M,SK,2005,27,6.0
Y20,M,SK,2006,41,4.0
Y20,M,SK,2007,135,7.0
Y20,M,SK,2013,27,7.0
Y20,M,SK,2014,27,9.0
Y20,M,SK,2015,45,7.0
Y20,M,SK,2016,39,11.0
Y20,M,SK,2017,32,13.0
Y20,M,SK,2018,27,11.0
Y20,M,SK,2019,28,11.0
Y21,F,BE,2010,1814,403.0
Y21,F,BE,2013,1634,633.0
Y21,F,BE,2014,1587,606.0
Y21,F,BE,2015,1658,517.0
Y21,F,BE,2016,1399,510.0
Y21,F,BE,2017,1380,506.0
Y21,F,BE,2018,1580,513.0
Y21,F,BE,2019,1602,512.0
Y21,M,BE,2010,1439,516.0
Y21,M,BE,2013,1240,951.0
Y21,M,BE,2014,1293,730.0
Y21,M,BE,2015,2007,711.0
Y21,M,BE,2016,1254,692.0
Y21,M,BE,2017,1297,649.0
Y21,M,BE,2018,1539,691.0
Y21,M,BE,2019,1747,799.0
Y21,F,BG,2013,161,298.0
Y21,F,BG,2014,171,416.0
Y21,F,BG,2015,187,341.0
Y21,F,BG,2016,165,459.0
Y21,F,BG,2017,214,512.0
Y21,F,BG,2018,293,398.0
Y21,F,BG,2019,224,478.0
Y21,M,BG,2013,286,270.0
Y21,M,BG,2014,294,416.0
Y21,M,BG,2015,253,348.0
Y21,M,BG,2016,176,492.0
Y21,M,BG,2017,211,514.0
Y21,M,BG,2018,226,446.0
Y21,M,BG,2019,245,549.0
Y21,F,CH,1990,2746,1990.0
Y21,F,CH,1991,2931,2013.0
Y21,F,CH,1992,2692,2027.0
Y21,F,CH,1993,2565,1936.0
Y21,F,CH,1994,2327,1690.0
Y21,F,CH,1995,2084,1518.0
Y21,F,CH,1996,1671,1502.0
Y21,F,CH,1997,1559,1366.0
Y21,F,CH,1998,1604,1355.0
Y21,F,CH,1999,1675,1223.0
Y21,F,CH,2000,1703,1182.0
Y21,F,CH,2001,1908,1122.0
Y21,F,CH,2002,1986,1093.0
Y21,F,CH,2003,1912,1009.0
Y21,F,CH,2004,1831,935.0
Y21,F,CH,2005,1757,1023.0
Y21,F,CH,2006,1781,1011.0
Y21,F,CH,2007,2042,1024.0
Y21,F,CH,2008,2253,1127.0
Y21,F,CH,2009,2135,1147.0
Y21,F,CH,2010,2156,1286.0
Y21,F,CH,2011,1974,1149.0
Y21,F,CH,2012,1860,1119.0
Y21,F,CH,2013,1888,1125.0
Y21,F,CH,2014,1851,1231.0
Y21,F,CH,2015,1789,1219.0
Y21,F,CH,2016,1644,1277.0
Y21,F,CH,2017,1638,1377.0
Y21,F,CH,2018,1552,1316.0
Y21,F,CH,2019,1539,1292.0
Y21,M,CH,1990,1906,1495.0
Y21,M,CH,1991,1970,1540.0
Y21,M,CH,1992,1731,1523.0
Y21,M,CH,1993,1521,1373.0
Y21,M,CH,1994,1517,1323.0
Y21,M,CH,1995,1265,1179.0
Y21,M,CH,1996,1076,1164.0
Y21,M,CH,1997,1019,1072.0
Y21,M,CH,1998,1068,1054.0
Y21,M,CH,1999,1149,1064.0
Y21,M,CH,2000,1224,1060.0
Y21,M,CH,2001,1273,1017.0
Y21,M,CH,2002,1489,933.0
Y21,M,CH,2003,1415,901.0
Y21,M,CH,2004,1530,947.0
Y21,M,CH,2005,1415,899.0
Y21,M,CH,2006,1434,955.0
Y21,M,CH,2007,1894,978.0
Y21,M,CH,2008,2072,996.0
Y21,M,CH,2009,1800,1047.0
Y21,M,CH,2010,1815,1130.0
Y21,M,CH,2011,1681,1072.0
Y21,M,CH,2012,1568,1030.0
Y21,M,CH,2013,1584,1062.0
Y21,M,CH,2014,1553,1156.0
Y21,M,CH,2015,1546,1159.0
Y21,M,CH,2016,1517,1235.0
Y21,M,CH,2017,1398,1266.0
Y21,M,CH,2018,1545,1352.0
Y21,M,CH,2019,1356,1340.0
Y21,F,CY,2010,366,78.0
Y21,F,CY,2011,303,65.0
Y21,M,CY,2010,310,64.0
Y21,M,CY,2011,276,58.0
Y21,F,CZ,2013,348,348.0
Y21,F,CZ,2014,312,659.0
Y21,F,CZ,2015,349,538.0
Y21,F,CZ,2016,1090,593.0
Y21,F,CZ,2017,1091,923.0
Y21,F,CZ,2018,1177,996.0
Y21,F,CZ,2019,687,718.0
Y21,M,CZ,2013,321,225.0
Y21,M,CZ,2014,313,517.0
Y21,M,CZ,2015,256,362.0
Y21,M,CZ,2016,940,478.0
Y21,M,CZ,2017,1095,579.0
Y21,M,CZ,2018,1232,643.0
Y21,M,CZ,2019,1196,668.0
Y21,F,DE,1995,16896,8776.0
Y21,F,DE,1996,16047,8819.0
Y21,F,DE,1997,15356,9562.0
Y21,F,DE,1998,14858,9153.0
Y21,F,DE,1999,16383,9280.0
Y21,F,DE,2000,16576,9322.0
Y21,F,DE,2001,17982,9193.0
Y21,F,DE,2002,17655,9516.0
Y21,F,DE,2003,16339,9396.0
Y21,F,DE,2004,15822,9788.0
Y21,F,DE,2005,14716,8931.0
Y21,F,DE,2006,13439,8465.0
Y21,F,DE,2007,13527,8763.0
Y21,F,DE,2008,13262,9558.0
Y21,F,DE,2009,5788,2000.0
Y21,F,DE,2010,6292,1843.0
Y21,F,DE,2011,7664,1732.0
Y21,F,DE,2012,8737,1659.0
Y21,F,DE,2013,9952,1712.0
Y21,F,DE,2014,11248,2249.0
Y21,F,DE,2015,16278,2321.0
Y21,F,DE,2016,12998,3777.0
Y21,F,DE,2017,12384,3833.0
Y21,F,DE,2018,11770,3622.0
Y21,F,DE,2019,11075,3771.0
Y21,M,DE,1995,18426,10045.0
Y21,M,DE,1996,17297,10471.0
Y21,M,DE,1997,14806,10522.0
Y21,M,DE,1998,14661,10128.0
Y21,M,DE,1999,15463,9891.0
Y21,M,DE,2000,14927,10570.0
Y21,M,DE,2001,16217,9180.0
Y21,M,DE,2002,14798,9110.0
Y21,M,DE,2003,13381,9084.0
Y21,M,DE,2004,13060,9300.0
Y21,M,DE,2005,11469,7972.0
Y21,M,DE,2006,11555,8153.0
Y21,M,DE,2007,12054,8309.0
Y21,M,DE,2008,12732,9505.0
Y21,M,DE,2009,5284,1943.0
Y21,M,DE,2010,5906,1826.0
Y21,M,DE,2011,7606,1842.0
Y21,M,DE,2012,9215,1863.0
Y21,M,DE,2013,11198,2045.0
Y21,M,DE,2014,14992,2635.0
Y21,M,DE,2015,33438,3242.0
Y21,M,DE,2016,16555,6259.0
Y21,M,DE,2017,13930,7197.0
Y21,M,DE,2018,13473,6877.0
Y21,M,DE,2019,12931,6767.0
Y21,F,DK,1990,1057,836.0
Y21,F,DK,1991,1140,848.0
Y21,F,DK,1992,1171,814.0
Y21,F,DK,1993,1329,948.0
Y21,F,DK,1994,1343,937.0
Y21,F,DK,1995,1477,851.0
Y21,F,DK,1996,1505,981.0
Y21,F,DK,1997,1530,1079.0
Y21,F,DK,1998,1475,985.0
Y21,F,DK,1999,1562,1074.0
Y21,F,DK,2000,1643,1123.0
Y21,F,DK,2001,1679,1083.0
Y21,F,DK,2002,1693,1170.0
Y21,F,DK,2003,1682,1218.0
Y21,F,DK,2004,1619,1186.0
Y21,F,DK,2005,1935,1383.0
Y21,F,DK,2006,1936,1424.0
Y21,F,DK,2007,2054,1160.0
Y21,F,DK,2008,1381,1289.0
Y21,F,DK,2009,1413,1353.0
Y21,F,DK,2010,1233,1508.0
Y21,F,DK,2011,1375,1293.0
Y21,F,DK,2012,1368,1880.0
Y21,F,DK,2013,1325,1736.0
Y21,F,DK,2014,1325,1723.0
Y21,F,DK,2015,1561,2011.0
Y21,F,DK,2016,1626,2324.0
Y21,F,DK,2017,1495,2096.0
Y21,F,DK,2018,1381,2666.0
Y21,F,DK,2019,1225,2856.0
Y21,M,DK,1990,808,705.0
Y21,M,DK,1991,762,772.0
Y21,M,DK,1992,796,678.0
Y21,M,DK,1993,870,703.0
Y21,M,DK,1994,822,713.0
Y21,M,DK,1995,968,744.0
Y21,M,DK,1996,922,754.0
Y21,M,DK,1997,909,754.0
Y21,M,DK,1998,994,776.0
Y21,M,DK,1999,957,808.0
Y21,M,DK,2000,991,904.0
Y21,M,DK,2001,1107,869.0
Y21,M,DK,2002,1140,910.0
Y21,M,DK,2003,1205,916.0
Y21,M,DK,2004,1231,953.0
Y21,M,DK,2005,1397,1008.0
Y21,M,DK,2006,1510,1037.0
Y21,M,DK,2007,1710,899.0
Y21,M,DK,2008,1128,870.0
Y21,M,DK,2009,1035,887.0
Y21,M,DK,2010,877,894.0
Y21,M,DK,2011,1041,794.0
Y21,M,DK,2012,999,1052.0
Y21,M,DK,2013,1041,1043.0
Y21,M,DK,2014,1127,1002.0
Y21,M,DK,2015,1409,1028.0
Y21,M,DK,2016,1327,1267.0
Y21,M,DK,2017,1184,1129.0
Y21,M,DK,2018,1201,1676.0
Y21,M,DK,2019,1077,1782.0
Y21,F,EE,2000,0,22.0
Y21,F,EE,2001,1,21.0
Y21,F,EE,2002,3,19.0
Y21,F,EE,2003,7,32.0
Y21,F,EE,2004,10,43.0
Y21,F,EE,2005,10,57.0
Y21,F,EE,2006,35,47.0
Y21,F,EE,2007,53,53.0
Y21,F,EE,2008,60,60.0
Y21,F,EE,2009,64,64.0
Y21,F,EE,2010,26,64.0
Y21,F,EE,2011,30,74.0
Y21,F,EE,2012,24,57.0
Y21,F,EE,2013,47,56.0
Y21,F,EE,2014,28,40.0
Y21,F,EE,2015,209,119.0
Y21,F,EE,2016,213,96.0
Y21,F,EE,2017,267,92.0
Y21,F,EE,2018,266,75.0
Y21,F,EE,2019,225,71.0
Y21,M,EE,2000,0,7.0
Y21,M,EE,2001,1,12.0
Y21,M,EE,2002,6,12.0
Y21,M,EE,2003,2,17.0
Y21,M,EE,2004,4,28.0
Y21,M,EE,2005,11,54.0
Y21,M,EE,2006,20,50.0
Y21,M,EE,2007,57,58.0
Y21,M,EE,2008,49,35.0
Y21,M,EE,2009,66,36.0
Y21,M,EE,2010,38,55.0
Y21,M,EE,2011,31,66.0
Y21,M,EE,2012,19,47.0
Y21,M,EE,2013,44,47.0
Y21,M,EE,2014,26,52.0
Y21,M,EE,2015,180,97.0
Y21,M,EE,2016,183,75.0
Y21,M,EE,2017,239,74.0
Y21,M,EE,2018,230,54.0
Y21,M,EE,2019,226,75.0
Y21,F,ES,2002,6257,269.0
Y21,F,ES,2003,6184,217.0
Y21,F,ES,2004,8746,453.0
Y21,F,ES,2005,9668,516.0
Y21,F,ES,2006,11725,1125.0
Y21,F,ES,2007,13816,1513.0
Y21,F,ES,2008,8295,1988.0
Y21,F,ES,2009,5884,2535.0
Y21,F,ES,2010,5284,2355.0
Y21,F,ES,2011,5254,2228.0
Y21,F,ES,2012,4169,2394.0
Y21,F,ES,2013,3686,2992.0
Y21,F,ES,2014,3852,2084.0
Y21,F,ES,2015,4110,1850.0
Y21,F,ES,2016,4763,1813.0
Y21,F,ES,2017,6389,1711.0
Y21,F,ES,2018,7368,1599.0
Y21,F,ES,2019,8048,1543.0
Y21,M,ES,2002,6271,238.0
Y21,M,ES,2003,6155,170.0
Y21,M,ES,2004,9424,410.0
Y21,M,ES,2005,9733,601.0
Y21,M,ES,2006,11554,1308.0
Y21,M,ES,2007,14997,1972.0
